id,combined_fips,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,per_point_diff_2016,state_abbr,county_name,FIPS,total_votes_2012,votes_dem_2012,votes_gop_2012,county_fips,state_fips,per_dem_2012,per_gop_2012,diff_2012,per_point_diff_2012,fips,PST045214,PST045213,PST040210,PST120214,PST120213,POP010210,AGE135213,AGE295213,AGE775213,SEX255213,RHI125213,RHI225213,RHI325213,RHI425213,RHI525213,RHI625213,RHI725213,RHI825213,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010213,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010212,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030213,LND110210,POP060210,name,state,census.region,pop.dens,pct.black,pct.college,pop.dens.cut,pct.black.cut,winner,partywinner16,winner12,partywinner12,flipped
1001,1001,5908,18110,24661,0.23956855,0.734357893,12202,-0.494789343,AL,Autauga County,1001,23909,6354,17366,1,1,0.265757664,0.726337362,11012,-0.460579698,1001,55395,55136,54571,1.5,1,54571,6.1,25.4,13.5,51.5,78.1,18.4,0.5,1.1,0.1,1.7,2.7,75.9,85,1.6,3.5,85.6,20.9,5922,26.2,22540,76.8,8.3,136200,20071,2.71,24571,53682,12.1,817,10120,2.1,2916,4067,15.2,0,1.3,0,0.7,31.7,0,0,598175,12003,88157,120,594.44,91.8,Autauga County,AL,South,93.1885472,18.4,20.9,"[   10,  100)","[15.0,25.0)",Trump,Republican,Romney,Republican,No
1003,1003,18409,72780,94090,0.195653098,0.77351472,54371,-0.577861622,AL,Baldwin County,1003,84988,18329,65772,3,1,0.215665741,0.773897491,47443,-0.55823175,1003,200111,195443,182265,9.8,7.2,182265,5.7,22.4,18.1,51.2,87.3,9.5,0.7,0.9,0.1,1.5,4.6,83.1,82.1,3.6,5.5,89.1,27.7,19346,25.9,105800,72.6,24.4,168600,73283,2.52,26766,50221,13.9,4871,54988,3.7,16390,19035,2.7,0.4,1,0,1.3,27.3,1410273,0,2966489,17166,436955,1327,1589.78,114.6,Baldwin County,AL,South,125.8733913,9.5,27.7,"[  100, 1000)","[ 5.0,10.0)",Trump,Republican,Romney,Republican,No
1005,1005,4848,5431,10390,0.466602502,0.522714148,583,-0.056111646,AL,Barbour County,1005,11459,5873,5539,5,1,0.512522908,0.483375513,334,0.029147395,1005,26887,26978,27457,-2.1,-1.7,27457,5.8,21.1,15.9,46.5,50.2,47.6,0.6,0.5,0.2,0.9,4.8,46.3,84.8,2.9,5,73.7,13.4,2120,24.6,11733,67.7,10.6,89200,9200,2.66,16829,32911,26.7,464,6611,-5.6,1525,1667,0,0,0,0,0,27,0,0,188337,6334,0,5,884.88,31,Barbour County,AL,South,30.38491095,47.6,13.4,"[   10,  100)","[25.0,50.0)",Trump,Republican,Obama,Democrat,Yes
1007,1007,1874,6733,8748,0.214220393,0.769661637,4859,-0.555441244,AL,Bibb County,1007,8391,2200,6131,7,1,0.262185675,0.730663806,3931,-0.468478131,1007,22506,22504,22919,-1.8,-1.8,22915,5.3,21.3,14.3,46,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.6,86.6,1.2,2.1,77.5,12.1,1327,27.6,8901,79,7.3,90500,7091,3.03,17427,36447,18.1,275,3145,7.5,1134,1385,14.9,0,0,0,0,0,0,0,124707,5804,10757,19,622.58,36.8,Bibb County,AL,South,36.14957114,22.1,12.1,"[   10,  100)","[15.0,25.0)",Trump,Republican,Romney,Republican,No
1009,1009,2150,22808,25384,0.084699023,0.898518752,20658,-0.813819729,AL,Blount County,1009,23980,2961,20741,9,1,0.123477898,0.864929108,17780,-0.741451209,1009,57719,57720,57322,0.7,0.7,57322,6.1,23.8,16.4,50.6,96,1.8,0.6,0.3,0.1,1.1,8.7,87.8,88.7,4.3,7.3,77,12.1,4540,33.9,23677,81,4.5,117100,21108,2.7,20730,44145,15.8,660,6798,3.4,3551,4458,0,0,0,0,0,23.2,341544,0,319700,5622,20941,4,644.78,88.9,Blount County,AL,South,89.51735476,1.8,12.1,"[   10,  100)","[ 0.0, 2.0)",Trump,Republican,Romney,Republican,No
1011,1011,3530,1139,4701,0.750904063,0.242288875,2391,0.508615188,AL,Bullock County,1011,5318,4058,1250,11,1,0.763068823,0.235050771,2808,0.528018052,1011,10764,10605,10915,-1.4,-2.8,10914,6.3,21,14.6,45.2,27.2,69.9,0.8,0.3,0.8,1,7.8,22.2,84.7,5.4,5.2,67.8,12.5,636,26.9,4434,74.3,8.7,70600,3741,2.73,18628,32033,21.6,112,0,0,485,417,0,0,0,0,0,38.8,0,0,43810,3995,3670,0,622.81,17.5,Bullock County,AL,South,17.28295949,69.9,12.5,"[   10,  100)","[50.0,85.3]",Clinton,Democrat,Obama,Democrat,No
1013,1013,3716,4891,8685,0.427864134,0.563154865,1175,-0.135290731,AL,Butler County,1013,9483,4367,5081,13,1,0.460508278,0.535800907,714,-0.075292629,1013,20296,20289,20946,-3.1,-3.1,20947,6.1,23.3,17.7,53.4,54.3,43.6,0.4,1,0,0.7,1.2,53.5,94.6,0.8,1.7,76.3,14,1497,24,9862,70.3,13.3,74700,8235,2.47,17403,29918,28.4,393,5711,2.7,1148,1769,0,0,3.3,0,0,0,399132,56712,229277,11326,28427,3,776.83,27,Butler County,AL,South,26.12669439,43.6,14,"[   10,  100)","[25.0,50.0)",Trump,Republican,Romney,Republican,No
1015,1015,13197,32803,47376,0.278558764,0.692396994,19606,-0.41383823,AL,Calhoun County,1015,46240,15500,30272,15,1,0.335207612,0.65467128,14772,-0.319463668,1015,115916,116547,118586,-2.3,-1.7,118572,5.8,22.2,15.5,51.7,76,20.9,0.5,0.8,0.1,1.6,3.5,73.1,83.6,2.4,4.5,78.6,16.1,11385,22.5,53053,68.7,13.8,100600,45196,2.54,20828,39962,21.9,2311,34871,0.6,6430,8713,7.2,0,1.6,0,0.5,24.7,2679991,0,1542981,13678,186533,59,605.87,195.7,Calhoun County,AL,South,191.3215706,20.9,16.1,"[  100, 1000)","[15.0,25.0)",Trump,Republican,Romney,Republican,No
1017,1017,5763,7803,13778,0.418275512,0.56633764,2040,-0.148062128,AL,Chambers County,1017,14562,6853,7596,17,1,0.470608433,0.521631644,743,-0.051023211,1017,34076,34175,34170,-0.3,0,34215,5.9,21.4,17.8,52,58.8,39.1,0.2,0.7,0.1,1.1,2,57.4,85.8,1.1,1.3,75.1,11.8,2691,24.6,16829,67.9,11.1,81200,13722,2.46,19291,32402,24.1,515,6431,-0.2,2262,1981,0,0,0,0,0,29.3,667283,0,264650,7620,23237,4,596.53,57.4,Chambers County,AL,South,57.12369872,39.1,11.8,"[   10,  100)","[25.0,50.0)",Trump,Republican,Romney,Republican,No
1019,1019,1524,8809,10503,0.1451014,0.838712749,7285,-0.693611349,AL,Cherokee County,1019,9761,2126,7494,19,1,0.217805553,0.767749206,5368,-0.549943653,1019,26037,26115,25986,0.2,0.5,25989,4.8,20.7,20.1,50.4,93.2,4.5,0.5,0.2,0,1.5,1.5,91.8,90.6,0.7,1.1,78.3,12.8,2174,26.9,16134,76.1,4.6,99400,11656,2.2,22030,34907,21.2,379,3864,5.5,1563,2180,0,0,0,0,0,14.5,307439,62293,186321,7613,13948,6,553.7,46.9,Cherokee County,AL,South,47.02365902,4.5,12.8,"[   10,  100)","[ 2.0, 5.0)",Trump,Republican,Romney,Republican,No
